Hit	Organism	Size	Sim	SRR	Associated Ichthy
SRR4435070.37603.1_size=1_tax=Bacteria	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR4435070	
SRR4435101.1282.1_size=1_tax=Bacteria	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR4435101	
SRR4435116.24471.1_size=1_tax=Bacteria	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR4435116	
SRR4435128.23759.1_size=1_tax=Bacteria_Cyanobacteria/Chloroplast_Chloroplast_Chloroplast_Chloroplast	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR4435128	
SRR4435153.12901.1_size=1_tax=Bacteria	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR4435153	
SRR4435176.34571.1_size=1_tax=Bacteria_Cyanobacteria/Chloroplast_Chloroplast_Chloroplast_Chloroplast	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR4435176	
SRR5435632.16486.1_size=1_tax=Bacteria_Cyanobacteria/Chloroplast_Chloroplast_Chloroplast_Chloroplast	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR5435632	
SRR5435633.15319.1_size=1_tax=Bacteria_Cyanobacteria/Chloroplast_Chloroplast_Chloroplast_Chloroplast	Station ALOHA in the North Pacific Subtropical Gyre	1	95	SRR5435633	
SRR5814148.28827.1_size=1_tax=Bacteria	150 m in the North Pacific Subtropical Gyre	1	95	SRR5814148	
SRR6078512.80659.1_size=1_tax=Bacteria	5m NW Mediterranean sea	1	95	SRR6078512	
SRR8177950.42038.1_size=1_tax=Bacteria_Cyanobacteria/Chloroplast_Chloroplast_Chloroplast_Chloroplast_Bangiophyceae_	marine biofilms developped over antifouling surfaces under different shear stress incubations in the Toulon Bay (and in the SOLA buoy)	1	95	SRR8177950	
